--P,--R,--method,--metric,--blur,--ltp,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,ror,hellinger,0.0,True,1,36,75,48.0,0.12525456109726002,0.04545149508852417,0.10538621010758424,0.04593220450853687,exp_8_1_ror_hellinger_0.0_True_1.csv,exp_8_1_ror_hellinger_0.0_True_1_results.json
8,1,ror,hellinger,0.0,True,42,43,75,57.333333333333336,0.09789899326470931,0.047016008374348814,0.2261282087836164,0.04640311327390766,exp_8_1_ror_hellinger_0.0_True_42.csv,exp_8_1_ror_hellinger_0.0_True_42_results.json
8,1,ror,hellinger,0.0,True,35,41,75,54.666666666666664,0.09116382007033867,0.04123690597162663,0.0895195091779668,0.044291212674164256,exp_8_1_ror_hellinger_0.0_True_35.csv,exp_8_1_ror_hellinger_0.0_True_35_results.json
8,1,ror,hellinger,0.0,True,99,27,75,36.0,0.09598841858367635,0.05181000303115357,0.09866986130510741,0.04763617487246865,exp_8_1_ror_hellinger_0.0_True_99.csv,exp_8_1_ror_hellinger_0.0_True_99_results.json
8,1,ror,hellinger,0.0,True,123,37,75,49.333333333333336,0.10021108155181965,0.04378535372293128,0.09384290775482401,0.04383574386880132,exp_8_1_ror_hellinger_0.0_True_123.csv,exp_8_1_ror_hellinger_0.0_True_123_results.json
8,1,ror,hellinger,0.0,True,2024,32,75,42.666666666666664,0.11414974795206426,0.047357023740528394,0.15508192643457006,0.04299957792539649,exp_8_1_ror_hellinger_0.0_True_2024.csv,exp_8_1_ror_hellinger_0.0_True_2024_results.json
8,1,ror,hellinger,0.0,True,777,35,75,46.666666666666664,0.08524406889997858,0.03974723164856966,0.08955317842995131,0.04461503352806843,exp_8_1_ror_hellinger_0.0_True_777.csv,exp_8_1_ror_hellinger_0.0_True_777_results.json
8,1,ror,hellinger,0.0,True,888,38,75,50.666666666666664,0.09499102516856495,0.04598866477202742,0.11601675218517864,0.04705791485977505,exp_8_1_ror_hellinger_0.0_True_888.csv,exp_8_1_ror_hellinger_0.0_True_888_results.json
8,1,ror,hellinger,0.0,True,999,37,75,49.333333333333336,0.07792017640673432,0.03242911922058739,0.07950388495109442,0.043742854385057074,exp_8_1_ror_hellinger_0.0_True_999.csv,exp_8_1_ror_hellinger_0.0_True_999_results.json
8,1,ror,hellinger,0.0,True,1111,33,75,44.0,0.089638225905703,0.04427535994648715,0.0876924788421607,0.044082087922672625,exp_8_1_ror_hellinger_0.0_True_1111.csv,exp_8_1_ror_hellinger_0.0_True_1111_results.json
8,1,ror,hellinger,0.25,True,1,35,75,46.666666666666664,0.1317961099614326,0.04571202365823352,0.10273579098378882,0.04790543216557496,exp_8_1_ror_hellinger_0.25_True_1.csv,exp_8_1_ror_hellinger_0.25_True_1_results.json
8,1,ror,hellinger,0.25,True,42,41,75,54.666666666666664,0.09852298508433152,0.04277487980844678,0.22824510288358282,0.046869431962108916,exp_8_1_ror_hellinger_0.25_True_42.csv,exp_8_1_ror_hellinger_0.25_True_42_results.json
