Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0035808547669443757,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.003592768716036924,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,0,0.003613389363706905,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,5,0.0036998359119562543,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,6,0.003806431116338972,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.004081212560741326,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.004289593234557562,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.004399468184437722,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.004469795421784526,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,6,0.00461331524444295,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.004143833388395013,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.004221969687454544,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,4,0.004378600546762211,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,5,0.0043962726029057346,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,1,0.004417908249389848,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.003552621105149941,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.00369870789531312,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,1,0.0037902383168756174,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,5,0.003958357911943546,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,3,0.0040606027476582165,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,4,0.004314275630535214,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,1,0.00441655465016657,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.004440898583400762,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,5,0.0044850732581532965,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.004558599819494987,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.003982397556557035,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,1,0.004040220838877203,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.004080469812934766,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,4,0.004290998688640998,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,6,0.004414425983923003,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,1,0.004163239716228733,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.004529326597897416,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.004555356033245032,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,4,0.004768108907545968,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,6,0.004804781344555311,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,2,0.004290165741937056,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,5,0.0043460599938309735,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,1,0.0044348183798229605,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,6,0.004444605362135097,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,4,0.00446779981622401,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,4,0.003762445065068382,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,5,0.003859275832811664,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,1,0.003860673373090571,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,6,0.003925920513127955,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,8,0.0039488143303018815,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.004045444998934303,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,1,0.004072302292727625,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,6,0.004152793192589077,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,4,0.004364972710969968,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,7,0.004512187725322849,True
11,Chequered12,Chequered,0,0,0,Chequered,12,0.008948240219418266,True
11,Chequered12,Chequered,0,0,0,Matted,109,0.05131995384776847,False
11,Chequered12,Chequered,0,0,0,Meshed,112,0.051644256227327864,False
11,Chequered12,Chequered,0,0,0,Chequered,16,0.06367900749631589,True
11,Chequered12,Chequered,0,0,0,Chequered,11,0.06420359509080859,True
12,Chequered12,Chequered,0,108,0,Chequered,15,0.005848805299897874,True
12,Chequered12,Chequered,0,108,0,Chequered,18,0.008692741498469311,True
12,Chequered12,Chequered,0,108,0,Chequered,14,0.008712481867444855,True
12,Chequered12,Chequered,0,108,0,Chequered,16,0.038511777982763236,True
12,Chequered12,Chequered,0,108,0,Chequered,11,0.038866335041698535,True
