Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0076117795462676205,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,6,0.007793317060809112,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.00780014869030111,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,1,0.008009591670129197,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,3,0.008069045422128517,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.007249709736173991,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,6,0.0075538321741398275,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.007565537556095274,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.007672125484483439,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,1,0.007778645266847261,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.007568312184391253,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,4,0.007708301946644161,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.007791014028425998,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,8,0.007894498458383817,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.00814829691785268,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.007085538283648638,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.007293267227852977,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,6,0.007586593930299567,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,3,0.0075950115735941275,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,2,0.007800137527224164,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,4,0.007437234667548483,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.007729907359062765,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.0077520351616550826,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,2,0.007828167738639272,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,7,0.007867880157302476,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.0073214996415982905,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,6,0.007646458279203348,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,4,0.007701216287521764,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,2,0.007803946266330792,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.007947820932540163,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.006873399740121944,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.00706646297512277,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,4,0.0072301751074447616,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,1,0.007410068495204043,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,6,0.007430249774935114,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,5,0.007842585087957467,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,2,0.00800348649287496,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,4,0.008075648897651893,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,8,0.008095778090897975,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,7,0.008467398208817395,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,5,0.007204106609696349,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,4,0.007333122632906914,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,8,0.007419244729123037,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,7,0.007536401989671316,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,2,0.007687852069924365,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.007014926715932391,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,7,0.007453878108337213,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,4,0.0075451189916182285,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,2,0.007619924631451429,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,6,0.007748092005705178,True
11,Chequered12,Chequered,0,0,0,Chequered,12,0.009882493893744,True
11,Chequered12,Chequered,0,0,0,Chequered,16,0.06281197234916697,True
11,Chequered12,Chequered,0,0,0,Chequered,11,0.06354596801993483,True
11,Chequered12,Chequered,0,0,0,Chequered,13,0.06703353430468859,True
11,Chequered12,Chequered,0,0,0,Chequered,17,0.06704145008940735,True
12,Chequered12,Chequered,0,108,0,Chequered,15,0.0076574788149809826,True
12,Chequered12,Chequered,0,108,0,Chequered,14,0.01927424530600906,True
12,Chequered12,Chequered,0,108,0,Chequered,18,0.019330791924724613,True
12,Chequered12,Chequered,0,108,0,Chequered,16,0.042708513149900526,True
12,Chequered12,Chequered,0,108,0,Chequered,11,0.04317992406792977,True
13,Chequered12,Chequered,0,144,0,Chequered,16,0.010200662608858291,True
13,Chequered12,Chequered,0,144,0,Chequered,17,0.04412429172187759,True
13,Chequered12,Chequered,0,144,0,Chequered,13,0.04421862697380394,True
13,Chequered12,Chequered,0,144,0,Chequered,11,0.056060491855474924,True
13,Chequered12,Chequered,0,144,0,Chequered,15,0.056667681427398156,True
14,Chequered12,Chequered,0,180,0,Chequered,10,0.010509328873095688,True
14,Chequered12,Chequered,0,180,0,Chequered,16,0.06335676315244193,True
14,Chequered12,Chequered,0,180,0,Chequered,12,0.06400613016801544,True
14,Chequered12,Chequered,0,180,0,Chequered,17,0.06728378966499704,True
14,Chequered12,Chequered,0,180,0,Chequered,13,0.06745305018910544,True
15,Chequered12,Chequered,0,216,0,Chequered,17,0.010327618043394462,True
15,Chequered12,Chequered,0,216,0,Chequered,16,0.04094972392029731,True
15,Chequered12,Chequered,0,216,0,Chequered,12,0.04142557083682754,True
15,Chequered12,Chequered,0,216,0,Chequered,14,0.05519986908658882,True
15,Chequered12,Chequered,0,216,0,Chequered,18,0.05572271431102486,True
16,Chequered12,Chequered,0,252,0,Chequered,18,0.007401280598072745,True
16,Chequered12,Chequered,0,252,0,Chequered,15,0.019121407944417045,True
16,Chequered12,Chequered,0,252,0,Chequered,11,0.019398656890386046,True
16,Chequered12,Chequered,0,252,0,Chequered,14,0.042469777415716246,True
16,Chequered12,Chequered,0,252,0,Chequered,17,0.042888564237094695,True
17,Chequered12,Chequered,0,288,0,Chequered,11,0.007657848644944349,True
17,Chequered12,Chequered,0,288,0,Chequered,15,0.019074107852075806,True
17,Chequered12,Chequered,0,288,0,Chequered,18,0.01919426708366126,True
17,Chequered12,Chequered,0,288,0,Chequered,16,0.0426323988430158,True
17,Chequered12,Chequered,0,288,0,Chequered,12,0.04307791073512009,True
18,Chequered12,Chequered,0,324,0,Chequered,12,0.009990969139807104,True
18,Chequered12,Chequered,0,324,0,Chequered,17,0.04387480289729747,True
18,Chequered12,Chequered,0,324,0,Chequered,14,0.04393320291619295,True
18,Chequered12,Chequered,0,324,0,Chequered,11,0.05598186192608493,True
18,Chequered12,Chequered,0,324,0,Chequered,16,0.056548289593901166,True
19,Chequered12,Chequered,0,36,0,Chequered,14,0.010851304505050506,True
19,Chequered12,Chequered,0,36,0,Chequered,17,0.04183494199370559,True
19,Chequered12,Chequered,0,36,0,Chequered,12,0.04221838981495914,True
19,Chequered12,Chequered,0,36,0,Chequered,15,0.05510443711443906,True
19,Chequered12,Chequered,0,36,0,Chequered,18,0.05554577282500274,True
20,Chequered12,Chequered,0,72,0,Chequered,15,0.0070221416824174186,True
20,Chequered12,Chequered,0,72,0,Chequered,16,0.01851317540463035,True
20,Chequered12,Chequered,0,72,0,Chequered,11,0.01891589988192151,True
20,Chequered12,Chequered,0,72,0,Chequered,14,0.04290352219043416,True
20,Chequered12,Chequered,0,72,0,Chequered,18,0.043071868339077925,True
21,Cracked14,Cracked,0,0,0,Sprinkled,153,0.021945146096127893,False
21,Cracked14,Cracked,0,0,0,Sprinkled,157,0.02208946978237512,False
21,Cracked14,Cracked,0,0,0,Crosshatched,39,0.022272722995523037,False
