Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,2,0.00027630101744287344,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.001581607648048676,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0017219223662151186,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,3,0.0018492986762978602,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,6,0.0018651102028116996,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.00033968533584701583,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.000730042468879344,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.000735403213115186,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.0008324272510142187,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,7,0.0008749905053559368,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.00025595927687027567,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.0007452312695868172,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.0007485575969868168,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,1,0.0009074645615813393,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,8,0.0009751816478342647,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,0,0.00027630101744287344,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.001657517327116768,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.0017594981166027235,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,6,0.001905131902358508,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,3,0.0019198630133376332,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,7,0.000282312792657151,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.0007223974863660072,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,2,0.0007485575969868168,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.0007974117420708478,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,4,0.0008254325485014272,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.00029380252301861444,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,1,0.000735403213115186,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,4,0.0008254325485014272,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.0008339532707403993,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,7,0.0008600947477740942,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,1,0.00033968533584701583,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.0007687651772363427,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.0008339532707403993,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,7,0.0008868671094494072,True
