Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,2,0.004541729657360677,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.006642186360323481,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.006824478941668286,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,7,0.006905994339264689,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,6,0.006923988824867476,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.004599461684308472,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,2,0.004652352316606972,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,0,0.0046771649155731175,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.0047879074488643815,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.0050138604071013155,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.004876276850857923,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,0,0.004975648174179642,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,2,0.005094827608125282,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,8,0.00536766343721377,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.0053805661491268504,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,0,0.004272043532602665,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.005774369437118042,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.006098518495906322,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,7,0.0064135456647357,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,6,0.0065092917616442845,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,7,0.004897320716619922,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.005203173671902215,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,3,0.005224771682262716,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.005226907402821117,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,0,0.005270252315149504,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,0,0.004553251775800798,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.004568051406464156,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,3,0.0046145110284589634,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,6,0.005156367755613758,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,7,0.005424742993794494,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,3,0.004013454837182867,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.004194366255216876,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,0,0.004209283700671421,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.004313739399937181,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,6,0.00453617476442785,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,3,0.005091615987739803,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,0,0.005165282034046291,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,2,0.0054517081079241995,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,8,0.005519035748847694,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,7,0.005519173084767776,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,3,0.005062529655010684,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,0,0.0051168345088244156,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,8,0.005228161992649393,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,5,0.005530950822973799,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,7,0.005547292052596225,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,3,0.004808595276100151,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,0,0.005014210879558772,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.005179473809822695,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,7,0.005471871583848606,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,8,0.005507300207542789,True
11,Chequered12,Chequered,0,0,0,Chequered,12,0.015356913656423866,True
11,Chequered12,Chequered,0,0,0,Chequered,16,0.030739586517228017,True
11,Chequered12,Chequered,0,0,0,Chequered,11,0.03133368961606824,True
11,Chequered12,Chequered,0,0,0,Chequered,13,0.032635752788901844,True
11,Chequered12,Chequered,0,0,0,Chequered,17,0.0333845716758559,True
12,Chequered12,Chequered,0,108,0,Chequered,15,0.005927935165926938,True
12,Chequered12,Chequered,0,108,0,Chequered,14,0.00855653209959532,True
12,Chequered12,Chequered,0,108,0,Chequered,18,0.008610393701564653,True
12,Chequered12,Chequered,0,108,0,Chequered,11,0.012693220403270596,True
12,Chequered12,Chequered,0,108,0,Chequered,16,0.012983587733362719,True
13,Chequered12,Chequered,0,144,0,Chequered,16,0.00506573755595071,True
13,Chequered12,Chequered,0,144,0,Chequered,13,0.013648814491419508,True
13,Chequered12,Chequered,0,144,0,Chequered,17,0.014017046180029906,True
13,Chequered12,Chequered,0,144,0,Chequered,11,0.020890264995694807,True
13,Chequered12,Chequered,0,144,0,Chequered,15,0.021551148154194653,True
14,Chequered12,Chequered,0,180,0,Chequered,10,0.01712967173408844,True
14,Chequered12,Chequered,0,180,0,Chequered,16,0.03180437222138176,True
14,Chequered12,Chequered,0,180,0,Chequered,12,0.03209782208524391,True
14,Chequered12,Chequered,0,180,0,Chequered,13,0.03343532312226924,True
14,Chequered12,Chequered,0,180,0,Chequered,17,0.033957050321057905,True
15,Chequered12,Chequered,0,216,0,Chequered,17,0.0054868998696062645,True
15,Chequered12,Chequered,0,216,0,Chequered,12,0.013600564675189239,True
15,Chequered12,Chequered,0,216,0,Chequered,16,0.013967924000733538,True
15,Chequered12,Chequered,0,216,0,Chequered,18,0.023133291748383463,True
15,Chequered12,Chequered,0,216,0,Chequered,14,0.023155858457674167,True
16,Chequered12,Chequered,0,252,0,Chequered,18,0.0065217778168608995,True
16,Chequered12,Chequered,0,252,0,Chequered,11,0.007868914867220146,True
16,Chequered12,Chequered,0,252,0,Chequered,15,0.007887891479273886,True
16,Chequered12,Chequered,0,252,0,Chequered,14,0.013234806490183488,True
16,Chequered12,Chequered,0,252,0,Chequered,17,0.013727561211406128,True
17,Chequered12,Chequered,0,288,0,Chequered,11,0.006260106381584386,True
17,Chequered12,Chequered,0,288,0,Chequered,18,0.009252897828965493,True
17,Chequered12,Chequered,0,288,0,Chequered,15,0.009316224614455255,True
17,Chequered12,Chequered,0,288,0,Chequered,12,0.012995711802071952,True
17,Chequered12,Chequered,0,288,0,Chequered,16,0.013142292816359235,True
18,Chequered12,Chequered,0,324,0,Chequered,12,0.005379657916115641,True
18,Chequered12,Chequered,0,324,0,Chequered,14,0.015086571334828104,True
18,Chequered12,Chequered,0,324,0,Chequered,17,0.015432767405954367,True
18,Chequered12,Chequered,0,324,0,Chequered,11,0.02306869414646631,True
18,Chequered12,Chequered,0,324,0,Chequered,16,0.02390157307673081,True
19,Chequered12,Chequered,0,36,0,Chequered,14,0.004808107105613897,True
19,Chequered12,Chequered,0,36,0,Chequered,12,0.013128434777242747,True
19,Chequered12,Chequered,0,36,0,Chequered,17,0.013341428368495556,True
19,Chequered12,Chequered,0,36,0,Chequered,18,0.022740623703482322,True
19,Chequered12,Chequered,0,36,0,Chequered,15,0.022812722541496903,True
20,Chequered12,Chequered,0,72,0,Chequered,15,0.006286685296744542,True
20,Chequered12,Chequered,0,72,0,Chequered,11,0.007375622706274648,True
20,Chequered12,Chequered,0,72,0,Chequered,16,0.007464102052811025,True
20,Chequered12,Chequered,0,72,0,Chequered,14,0.012738822032849229,True
20,Chequered12,Chequered,0,72,0,Chequered,18,0.013034471146571488,True
21,Cracked14,Cracked,0,0,0,Swirly,162,0.013096629328524791,False
21,Cracked14,Cracked,0,0,0,Sprinkled,159,0.013707903124939287,False
21,Cracked14,Cracked,0,0,0,Matted,102,0.013981583418110833,False
21,Cracked14,Cracked,0,0,0,Marbled,99,0.01407279327515947,False
21,Cracked14,Cracked,0,0,0,Matted,108,0.015144446048808557,False
22,Cracked14,Cracked,0,108,0,Matted,102,0.011978064603543824,False
22,Cracked14,Cracked,0,108,0,Marbled,99,0.012068587751399748,False
22,Cracked14,Cracked,0,108,0,Matted,104,0.012451052065057328,False
22,Cracked14,Cracked,0,108,0,Matted,108,0.012483631618033286,False
22,Cracked14,Cracked,0,108,0,Swirly,162,0.012686688308251308,False
23,Cracked14,Cracked,0,144,0,Swirly,162,0.012064918406534102,False
23,Cracked14,Cracked,0,144,0,Matted,102,0.012151197631462118,False
23,Cracked14,Cracked,0,144,0,Marbled,99,0.012214728145094694,False
23,Cracked14,Cracked,0,144,0,Sprinkled,159,0.012414527955096715,False
23,Cracked14,Cracked,0,144,0,Matted,104,0.01305867457151048,False
24,Cracked14,Cracked,0,180,0,Swirly,162,0.012080203807200842,False
24,Cracked14,Cracked,0,180,0,Matted,102,0.012595003393646508,False
24,Cracked14,Cracked,0,180,0,Sprinkled,159,0.012630610033587302,False
24,Cracked14,Cracked,0,180,0,Marbled,99,0.012684658282176374,False
24,Cracked14,Cracked,0,180,0,Matted,108,0.013567434655124028,False
