Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0065619430178676,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.006847857720487089,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,3,0.007157621564465745,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,5,0.007366024750715803,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,6,0.007409313176430265,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.0064179849483000494,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.006781399817200254,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.006953556717683177,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.007196675544321192,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,6,0.007383237996525296,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,4,0.006713846703159313,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.006765990634456997,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,8,0.006969929571306676,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.007159805728685982,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.0071715529843222135,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.006164895254782132,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.0064195057387007445,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,3,0.006674249184245071,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,5,0.0069321553802369614,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,1,0.007039591875373902,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,4,0.006554048171553534,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.0068650768057118864,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,7,0.007149489385253254,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,5,0.007319053170047077,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.007383850004169707,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.006647020285560559,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,4,0.007163779955201953,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.0073273625756554136,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,1,0.0074923484977063425,True
