Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,2,0.00047484652137270744,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.002104495182210718,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0022335929862377455,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,0,0.0023889050196762174,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,3,0.002513008222743496,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.0006041737682359179,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.0009292578307468771,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.0009494590123920259,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.0012706767512694007,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,6,0.001336467702949914,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.00037959273362061754,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.000852498946207794,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.0008712835839574704,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,1,0.0013966910223991618,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,8,0.0013986616306079086,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,0,0.00047484652137270744,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.0019348611728008793,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.0020536689092124005,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,1,0.002219868925297113,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,5,0.0023570644650139187,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,7,0.0004577895992159667,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,2,0.0008712835839574704,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.0009093948456724732,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,8,0.0012318866739326564,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,1,0.0012706767512694007,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.0004064662577158951,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,1,0.0009494590123920259,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.0010791788206933235,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,4,0.0013478258295538433,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,6,0.0014747887252113782,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,1,0.0006041737682359179,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.0008756139482602841,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.0010791788206933235,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,4,0.0013655915415895386,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,6,0.0013978321542912867,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,2,0.00037959273362061754,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,4,0.0009093948456724732,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,7,0.0009954338474645018,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,1,0.001336467702949914,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,6,0.0013978321542912867,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,4,0.0004577895992159667,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,2,0.000852498946207794,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,7,0.0009954338474645018,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,8,0.0012694288146586213,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,1,0.001447042286333623,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.0004064662577158951,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,6,0.0008756139482602841,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,1,0.0009292578307468771,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,4,0.0012318866739326564,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,8,0.0012694288146586213,True
11,Chequered12,Chequered,0,0,0,Chequered,12,0.0009198928623743267,True
11,Chequered12,Chequered,0,0,0,Chequered,16,0.04798429331057395,True
11,Chequered12,Chequered,0,0,0,Chequered,11,0.04881927398598988,True
11,Chequered12,Chequered,0,0,0,Chequered,13,0.049636061058116805,True
11,Chequered12,Chequered,0,0,0,Chequered,17,0.04994412060796839,True
12,Chequered12,Chequered,0,108,0,Chequered,15,0.0008046246812665112,True
12,Chequered12,Chequered,0,108,0,Chequered,14,0.002564529780245217,True
12,Chequered12,Chequered,0,108,0,Chequered,18,0.0028867488375249194,True
12,Chequered12,Chequered,0,108,0,Chequered,16,0.014694571809459548,True
12,Chequered12,Chequered,0,108,0,Chequered,11,0.014800251117787235,True
13,Chequered12,Chequered,0,144,0,Chequered,16,0.0007362202107345924,True
13,Chequered12,Chequered,0,144,0,Chequered,13,0.01013706762940897,True
13,Chequered12,Chequered,0,144,0,Chequered,17,0.010171374534780009,True
13,Chequered12,Chequered,0,144,0,Chequered,11,0.014800251117787235,True
13,Chequered12,Chequered,0,144,0,Chequered,15,0.015627604949525423,True
14,Chequered12,Chequered,0,180,0,Chequered,10,0.0009198928623743267,True
14,Chequered12,Chequered,0,180,0,Chequered,16,0.04601562093765672,True
14,Chequered12,Chequered,0,180,0,Chequered,12,0.04653285273471567,True
14,Chequered12,Chequered,0,180,0,Chequered,13,0.04802844942342316,True
14,Chequered12,Chequered,0,180,0,Chequered,17,0.04828572838936003,True
15,Chequered12,Chequered,0,216,0,Chequered,17,0.0006660022788161143,True
15,Chequered12,Chequered,0,216,0,Chequered,12,0.01013706762940897,True
15,Chequered12,Chequered,0,216,0,Chequered,16,0.010359514496861445,True
15,Chequered12,Chequered,0,216,0,Chequered,14,0.015361495714080258,True
15,Chequered12,Chequered,0,216,0,Chequered,18,0.015491766181988378,True
16,Chequered12,Chequered,0,252,0,Chequered,18,0.0006744761081097716,True
16,Chequered12,Chequered,0,252,0,Chequered,15,0.0023738241358149705,True
16,Chequered12,Chequered,0,252,0,Chequered,11,0.002564529780245217,True
16,Chequered12,Chequered,0,252,0,Chequered,14,0.015361495714080258,True
16,Chequered12,Chequered,0,252,0,Chequered,17,0.015921239479747277,True
17,Chequered12,Chequered,0,288,0,Chequered,11,0.0008046246812665112,True
17,Chequered12,Chequered,0,288,0,Chequered,15,0.0023738241358149705,True
17,Chequered12,Chequered,0,288,0,Chequered,18,0.002787518473401856,True
17,Chequered12,Chequered,0,288,0,Chequered,16,0.015567290224836966,True
17,Chequered12,Chequered,0,288,0,Chequered,12,0.015627604949525423,True
18,Chequered12,Chequered,0,324,0,Chequered,12,0.0007362202107345924,True
18,Chequered12,Chequered,0,324,0,Chequered,14,0.010359514496861445,True
18,Chequered12,Chequered,0,324,0,Chequered,17,0.01051977282703824,True
18,Chequered12,Chequered,0,324,0,Chequered,11,0.014694571809459548,True
18,Chequered12,Chequered,0,324,0,Chequered,16,0.015567290224836966,True
19,Chequered12,Chequered,0,36,0,Chequered,14,0.0006660022788161143,True
19,Chequered12,Chequered,0,36,0,Chequered,12,0.010171374534780009,True
19,Chequered12,Chequered,0,36,0,Chequered,17,0.01051977282703824,True
19,Chequered12,Chequered,0,36,0,Chequered,18,0.015901733516800305,True
19,Chequered12,Chequered,0,36,0,Chequered,15,0.015921239479747277,True
20,Chequered12,Chequered,0,72,0,Chequered,15,0.0006744761081097716,True
20,Chequered12,Chequered,0,72,0,Chequered,16,0.002787518473401856,True
20,Chequered12,Chequered,0,72,0,Chequered,11,0.0028867488375249194,True
20,Chequered12,Chequered,0,72,0,Chequered,14,0.015491766181988378,True
20,Chequered12,Chequered,0,72,0,Chequered,18,0.015901733516800305,True
21,Cracked14,Cracked,0,0,0,Cracked,22,7.779187626604653e-05,True
21,Cracked14,Cracked,0,0,0,Cracked,24,0.0017964913314441166,True
21,Cracked14,Cracked,0,0,0,Cracked,28,0.0018260342251919066,True
21,Cracked14,Cracked,0,0,0,Cracked,20,0.001956977076102935,True
21,Cracked14,Cracked,0,0,0,Cracked,25,0.0019833024311836055,True
22,Cracked14,Cracked,0,108,0,Cracked,25,5.1466647253233335e-05,True
22,Cracked14,Cracked,0,108,0,Cracked,28,0.001018333924879449,True
22,Cracked14,Cracked,0,108,0,Cracked,24,0.0010335620897444229,True
22,Cracked14,Cracked,0,108,0,Cracked,26,0.0010398863053955943,True
22,Cracked14,Cracked,0,108,0,Cracked,21,0.0010733642456534618,True
23,Cracked14,Cracked,0,144,0,Cracked,26,5.771606449966432e-05,True
23,Cracked14,Cracked,0,144,0,Cracked,21,0.0010733642456534618,True
23,Cracked14,Cracked,0,144,0,Cracked,25,0.0011554839681880828,True
23,Cracked14,Cracked,0,144,0,Cracked,27,0.0011685343470558354,True
23,Cracked14,Cracked,0,144,0,Cracked,23,0.0012271208066641079,True
24,Cracked14,Cracked,0,180,0,Cracked,20,7.779187626604653e-05,True
24,Cracked14,Cracked,0,180,0,Cracked,24,0.0017889519641804434,True
24,Cracked14,Cracked,0,180,0,Cracked,28,0.0018178847609128623,True
24,Cracked14,Cracked,0,180,0,Cracked,23,0.0018768193489121909,True
24,Cracked14,Cracked,0,180,0,Cracked,27,0.0019282718486603643,True
25,Cracked14,Cracked,0,216,0,Cracked,27,5.141415519233902e-05,True
25,Cracked14,Cracked,0,216,0,Cracked,26,0.0011339965957013712,True
25,Cracked14,Cracked,0,216,0,Cracked,24,0.0011351527960120505,True
25,Cracked14,Cracked,0,216,0,Cracked,28,0.0011502794215838999,True
25,Cracked14,Cracked,0,216,0,Cracked,22,0.0012271208066641079,True
26,Cracked14,Cracked,0,252,0,Cracked,28,4.594411517076148e-05,True
26,Cracked14,Cracked,0,252,0,Cracked,25,0.0010193213826291461,True
26,Cracked14,Cracked,0,252,0,Cracked,21,0.0010335620897444229,True
26,Cracked14,Cracked,0,252,0,Cracked,27,0.001132644833591547,True
26,Cracked14,Cracked,0,252,0,Cracked,24,0.0011351527960120505,True
27,Cracked14,Cracked,0,288,0,Cracked,21,5.1466647253233335e-05,True
27,Cracked14,Cracked,0,288,0,Cracked,28,0.0010185952577710523,True
27,Cracked14,Cracked,0,288,0,Cracked,25,0.0010193213826291461,True
27,Cracked14,Cracked,0,288,0,Cracked,26,0.0011222130320109238,True
27,Cracked14,Cracked,0,288,0,Cracked,22,0.0011554839681880828,True
28,Cracked14,Cracked,0,324,0,Cracked,22,5.771606449966432e-05,True
28,Cracked14,Cracked,0,324,0,Cracked,21,0.0010398863053955943,True
28,Cracked14,Cracked,0,324,0,Cracked,27,0.00110177013545964,True
28,Cracked14,Cracked,0,324,0,Cracked,26,0.0011222130320109238,True
28,Cracked14,Cracked,0,324,0,Cracked,24,0.0011339965957013712,True
29,Cracked14,Cracked,0,36,0,Cracked,24,5.141415519233902e-05,True
29,Cracked14,Cracked,0,36,0,Cracked,27,0.00110177013545964,True
29,Cracked14,Cracked,0,36,0,Cracked,25,0.001132644833591547,True
29,Cracked14,Cracked,0,36,0,Cracked,28,0.0011393325085169701,True
29,Cracked14,Cracked,0,36,0,Cracked,22,0.0011685343470558354,True
30,Cracked14,Cracked,0,72,0,Cracked,25,4.594411517076148e-05,True
30,Cracked14,Cracked,0,72,0,Cracked,21,0.001018333924879449,True
30,Cracked14,Cracked,0,72,0,Cracked,26,0.0010185952577710523,True
30,Cracked14,Cracked,0,72,0,Cracked,28,0.0011393325085169701,True
30,Cracked14,Cracked,0,72,0,Cracked,24,0.0011502794215838999,True
31,Crosshatched11,Crosshatched,0,0,0,Crosshatched,32,1.8741788063593788e-05,True
31,Crosshatched11,Crosshatched,0,0,0,Pitted,126,0.03646870477104696,False
31,Crosshatched11,Crosshatched,0,0,0,Pitted,121,0.03719920041155625,False
31,Crosshatched11,Crosshatched,0,0,0,Pitted,123,0.03775236501440932,False
31,Crosshatched11,Crosshatched,0,0,0,Pitted,127,0.038132850949003844,False
32,Crosshatched11,Crosshatched,0,108,0,Crosshatched,35,1.960492110672861e-05,True
32,Crosshatched11,Crosshatched,0,108,0,Crosshatched,34,0.00568257910073926,True
32,Crosshatched11,Crosshatched,0,108,0,Crosshatched,38,0.005816712399002726,True
32,Crosshatched11,Crosshatched,0,108,0,Crosshatched,36,0.01658962599520399,True
32,Crosshatched11,Crosshatched,0,108,0,Crosshatched,31,0.016642657269060262,True
33,Crosshatched11,Crosshatched,0,144,0,Crosshatched,36,1.770215983407651e-05,True
33,Crosshatched11,Crosshatched,0,144,0,Crosshatched,37,0.00553424664148799,True
33,Crosshatched11,Crosshatched,0,144,0,Crosshatched,33,0.005583180171472631,True
33,Crosshatched11,Crosshatched,0,144,0,Pitted,120,0.012193225641799888,False
33,Crosshatched11,Crosshatched,0,144,0,Pitted,122,0.012247349223274417,False
34,Crosshatched11,Crosshatched,0,180,0,Crosshatched,30,1.8741788063593788e-05,True
34,Crosshatched11,Crosshatched,0,180,0,Pitted,126,0.03654775394640539,False
34,Crosshatched11,Crosshatched,0,180,0,Pitted,121,0.03727912201036231,False
34,Crosshatched11,Crosshatched,0,180,0,Pitted,123,0.03783966432603155,False
34,Crosshatched11,Crosshatched,0,180,0,Pitted,127,0.03821908806246807,False
35,Crosshatched11,Crosshatched,0,216,0,Crosshatched,37,2.3608089210518077e-05,True
35,Crosshatched11,Crosshatched,0,216,0,Crosshatched,36,0.005536318609132723,True
35,Crosshatched11,Crosshatched,0,216,0,Crosshatched,32,0.005583180171472631,True
35,Crosshatched11,Crosshatched,0,216,0,Pitted,128,0.01381834712573191,False
35,Crosshatched11,Crosshatched,0,216,0,Pitted,124,0.01396377656621511,False
36,Crosshatched11,Crosshatched,0,252,0,Crosshatched,38,3.556884354879048e-05,True
36,Crosshatched11,Crosshatched,0,252,0,Crosshatched,35,0.005614518082078586,True
36,Crosshatched11,Crosshatched,0,252,0,Crosshatched,31,0.00568257910073926,True
36,Crosshatched11,Crosshatched,0,252,0,Crosshatched,36,0.0178378874526308,True
36,Crosshatched11,Crosshatched,0,252,0,Crosshatched,32,0.017919746239512216,True
37,Crosshatched11,Crosshatched,0,288,0,Crosshatched,31,1.960492110672861e-05,True
37,Crosshatched11,Crosshatched,0,288,0,Crosshatched,35,0.005614518082078586,True
37,Crosshatched11,Crosshatched,0,288,0,Crosshatched,38,0.005750883627969598,True
37,Crosshatched11,Crosshatched,0,288,0,Crosshatched,36,0.01639879234286152,True
37,Crosshatched11,Crosshatched,0,288,0,Crosshatched,32,0.01645159160979056,True
38,Crosshatched11,Crosshatched,0,324,0,Crosshatched,32,1.770215983407651e-05,True
38,Crosshatched11,Crosshatched,0,324,0,Crosshatched,37,0.005481864973679197,True
38,Crosshatched11,Crosshatched,0,324,0,Crosshatched,34,0.005536318609132723,True
38,Crosshatched11,Crosshatched,0,324,0,Pitted,122,0.01219164423695941,False
