Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,5,0.0036892113024287886,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,0,0.0037773885647869464,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.0038795304742286238,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,8,0.004165133638502467,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,1,0.004424209681553429,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,5,0.004808146744958063,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.005023802968419863,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,8,0.005289136979715125,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,3,0.005623946312722516,True
2,Bubbly16,Bubbly,0,108,0,Bubbly,1,0.0056843555365111145,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.0049622707771668,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,4,0.004989684313915086,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,5,0.005022870482153982,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,1,0.00508679586690656,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.005201597635025181,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,5,0.0037791508827570842,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,1,0.003862080453651819,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.003984598330013776,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.004275583505034929,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,3,0.004584979182896838,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,5,0.004969476646839569,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,1,0.005080874453187193,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,4,0.005090986825379636,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,2,0.0051913651254633705,True
5,Bubbly16,Bubbly,0,216,0,Bubbly,6,0.005276004259014008,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,5,0.004924051933116058,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,1,0.005044771917769998,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,8,0.005171971603357814,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,2,0.005578014797434577,True
6,Bubbly16,Bubbly,0,252,0,Bubbly,6,0.005657862226702889,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,1,0.005109596182303136,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,5,0.005207817803533036,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,8,0.0054945966825991595,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,4,0.005740834815552125,True
7,Bubbly16,Bubbly,0,288,0,Bubbly,2,0.005827409796418962,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,2,0.004880920732306645,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,5,0.004959447790861432,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,6,0.005000112093798328,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,1,0.005067221761623783,True
8,Bubbly16,Bubbly,0,324,0,Bubbly,4,0.005096184709386142,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,6,0.005269131355722053,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,1,0.0054345561196392665,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,5,0.005436952340114269,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,4,0.0054680460112816135,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,2,0.005493803802040861,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.004821333100842947,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,6,0.004920460047822821,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,1,0.004999549642162907,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,2,0.005478015228654328,True
10,Bubbly16,Bubbly,0,72,0,Bubbly,7,0.005581834552271035,True
11,Chequered12,Chequered,0,0,0,Chequered,12,0.016303539534167934,True
11,Chequered12,Chequered,0,0,0,Matted,109,0.03368672682074624,False
11,Chequered12,Chequered,0,0,0,Meshed,112,0.03388166757249327,False
11,Chequered12,Chequered,0,0,0,Honeycombed,63,0.0494493045251099,False
11,Chequered12,Chequered,0,0,0,Honeycombed,67,0.049743666615786684,False
12,Chequered12,Chequered,0,108,0,Chequered,15,0.0068155479759524585,True
12,Chequered12,Chequered,0,108,0,Chequered,18,0.008537679394870646,True
12,Chequered12,Chequered,0,108,0,Chequered,14,0.008575672693958864,True
12,Chequered12,Chequered,0,108,0,Zigzagged,202,0.036766987694160536,False
12,Chequered12,Chequered,0,108,0,Wrinkled,199,0.03689137101295094,False
13,Chequered12,Chequered,0,144,0,Chequered,16,0.013021893431902869,True
13,Chequered12,Chequered,0,144,0,Chequered,17,0.015544196575956121,True
13,Chequered12,Chequered,0,144,0,Chequered,13,0.015586842586053723,True
13,Chequered12,Chequered,0,144,0,Zigzagged,205,0.03152565360196618,False
13,Chequered12,Chequered,0,144,0,Zigzagged,200,0.03163100246394463,False
14,Chequered12,Chequered,0,180,0,Chequered,10,0.015272874397463818,True
14,Chequered12,Chequered,0,180,0,Matted,109,0.03409275189418393,False
14,Chequered12,Chequered,0,180,0,Meshed,112,0.03428648152782792,False
