Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Meshed,119,0.0021041776686472574,False
1,Bubbly16,Bubbly,0,0,0,Pitted,122,0.0023411854876860677,False
1,Bubbly16,Bubbly,0,0,0,Matted,102,0.004331707401108928,False
1,Bubbly16,Bubbly,0,0,0,Marbled,99,0.004363171393681944,False
1,Bubbly16,Bubbly,0,0,0,Pitted,128,0.007232890617245078,False
2,Bubbly16,Bubbly,0,108,0,Matted,102,0.001647306155188392,False
2,Bubbly16,Bubbly,0,108,0,Marbled,99,0.0017619354897227609,False
2,Bubbly16,Bubbly,0,108,0,Pitted,120,0.0033074169512772584,False
2,Bubbly16,Bubbly,0,108,0,Pitted,125,0.0036134049109179823,False
2,Bubbly16,Bubbly,0,108,0,Pitted,128,0.003844708523786535,False
3,Bubbly16,Bubbly,0,144,0,Matted,102,0.002329975452825545,False
3,Bubbly16,Bubbly,0,144,0,Marbled,99,0.0023314244939924072,False
3,Bubbly16,Bubbly,0,144,0,Meshed,119,0.0041992914384021765,False
3,Bubbly16,Bubbly,0,144,0,Pitted,122,0.004366787377168601,False
3,Bubbly16,Bubbly,0,144,0,Pitted,128,0.004788276870141916,False
4,Bubbly16,Bubbly,0,180,0,Pitted,122,0.0025755091888101833,False
4,Bubbly16,Bubbly,0,180,0,Meshed,119,0.002647494215573879,False
4,Bubbly16,Bubbly,0,180,0,Matted,102,0.003916988838575278,False
4,Bubbly16,Bubbly,0,180,0,Marbled,99,0.00393453996443029,False
4,Bubbly16,Bubbly,0,180,0,Pitted,128,0.007138505230146846,False
5,Bubbly16,Bubbly,0,216,0,Matted,102,0.001760309208102854,False
5,Bubbly16,Bubbly,0,216,0,Marbled,99,0.00180501597486789,False
5,Bubbly16,Bubbly,0,216,0,Pitted,128,0.0038453911597726605,False
5,Bubbly16,Bubbly,0,216,0,Pitted,120,0.003910374891309723,False
5,Bubbly16,Bubbly,0,216,0,Pitted,122,0.004264168382155971,False
6,Bubbly16,Bubbly,0,252,0,Marbled,99,0.0013730212537722583,False
6,Bubbly16,Bubbly,0,252,0,Matted,102,0.0014106275070163556,False
6,Bubbly16,Bubbly,0,252,0,Pitted,128,0.0031016531283873856,False
6,Bubbly16,Bubbly,0,252,0,Pitted,120,0.0032324979590391354,False
6,Bubbly16,Bubbly,0,252,0,Pitted,124,0.003552942979976826,False
7,Bubbly16,Bubbly,0,288,0,Marbled,99,0.002294457971104646,False
7,Bubbly16,Bubbly,0,288,0,Matted,102,0.0023348046009177437,False
7,Bubbly16,Bubbly,0,288,0,Meshed,119,0.004496041359121731,False
7,Bubbly16,Bubbly,0,288,0,Pitted,122,0.004648354156980434,False
7,Bubbly16,Bubbly,0,288,0,Pitted,120,0.004847451650608688,False
8,Bubbly16,Bubbly,0,324,0,Matted,102,0.0018699057978116681,False
8,Bubbly16,Bubbly,0,324,0,Marbled,99,0.0020754690733193366,False
8,Bubbly16,Bubbly,0,324,0,Pitted,122,0.0044806468746413685,False
8,Bubbly16,Bubbly,0,324,0,Pitted,128,0.0046372373152551915,False
8,Bubbly16,Bubbly,0,324,0,Meshed,119,0.0046530954615243295,False
9,Bubbly16,Bubbly,0,36,0,Marbled,99,0.0015746127555700947,False
9,Bubbly16,Bubbly,0,36,0,Matted,102,0.0015916703972780795,False
9,Bubbly16,Bubbly,0,36,0,Pitted,128,0.0030387740371002722,False
9,Bubbly16,Bubbly,0,36,0,Pitted,120,0.0031574588179773865,False
9,Bubbly16,Bubbly,0,36,0,Pitted,125,0.0033912905036978394,False
10,Bubbly16,Bubbly,0,72,0,Marbled,99,0.001910281891528508,False
10,Bubbly16,Bubbly,0,72,0,Matted,102,0.0019600020200026924,False
10,Bubbly16,Bubbly,0,72,0,Pitted,122,0.003650265103837519,False
10,Bubbly16,Bubbly,0,72,0,Meshed,119,0.0036603628370736325,False
10,Bubbly16,Bubbly,0,72,0,Pitted,120,0.004000879231384374,False
11,Chequered12,Chequered,0,0,0,Sprinkled,152,0.006943790586200292,False
11,Chequered12,Chequered,0,0,0,Scaly,149,0.006944172187045361,False
11,Chequered12,Chequered,0,0,0,Swirly,165,0.007740374019547346,False
11,Chequered12,Chequered,0,0,0,Swirly,164,0.008045154576614297,False
11,Chequered12,Chequered,0,0,0,Swirly,160,0.008218750321645587,False
12,Chequered12,Chequered,0,108,0,Chequered,13,0.003616104866277187,True
12,Chequered12,Chequered,0,108,0,Chequered,16,0.003948236034646333,True
12,Chequered12,Chequered,0,108,0,Chequered,11,0.004678564526373323,True
12,Chequered12,Chequered,0,108,0,Chequered,17,0.005173078176397382,True
12,Chequered12,Chequered,0,108,0,Chequered,15,0.009221424099483656,True
13,Chequered12,Chequered,0,144,0,Chequered,16,0.004413395593962183,True
13,Chequered12,Chequered,0,144,0,Swirly,165,0.004598601446289741,False
13,Chequered12,Chequered,0,144,0,Chequered,13,0.004982658094732981,True
13,Chequered12,Chequered,0,144,0,Swirly,160,0.005221176924932195,False
13,Chequered12,Chequered,0,144,0,Swirly,164,0.005358971132957187,False
14,Chequered12,Chequered,0,180,0,Sprinkled,152,0.006233966659234049,False
14,Chequered12,Chequered,0,180,0,Scaly,149,0.006314183152530239,False
14,Chequered12,Chequered,0,180,0,Swirly,164,0.007107085439426232,False
14,Chequered12,Chequered,0,180,0,Swirly,165,0.007123563412330756,False
14,Chequered12,Chequered,0,180,0,Swirly,160,0.007234445757174232,False
15,Chequered12,Chequered,0,216,0,Chequered,12,0.004845682769191437,True
15,Chequered12,Chequered,0,216,0,Chequered,16,0.005154982241420714,True
15,Chequered12,Chequered,0,216,0,Swirly,165,0.005423557934336813,False
15,Chequered12,Chequered,0,216,0,Chequered,17,0.006146131448441999,True
15,Chequered12,Chequered,0,216,0,Swirly,160,0.006422976774092228,False
16,Chequered12,Chequered,0,252,0,Chequered,14,0.003531755760620921,True
16,Chequered12,Chequered,0,252,0,Chequered,16,0.0046090162060353395,True
16,Chequered12,Chequered,0,252,0,Chequered,17,0.005011190342621844,True
16,Chequered12,Chequered,0,252,0,Chequered,12,0.005363149188322324,True
16,Chequered12,Chequered,0,252,0,Chequered,11,0.009428963944783523,True
17,Chequered12,Chequered,0,288,0,Chequered,14,0.003293883146466271,True
17,Chequered12,Chequered,0,288,0,Chequered,16,0.003799778359980264,True
17,Chequered12,Chequered,0,288,0,Chequered,12,0.004434429892130266,True
17,Chequered12,Chequered,0,288,0,Chequered,17,0.004776679959437813,True
17,Chequered12,Chequered,0,288,0,Chequered,11,0.010334271329189048,True
18,Chequered12,Chequered,0,324,0,Chequered,12,0.005254792655837081,True
18,Chequered12,Chequered,0,324,0,Swirly,165,0.0055735559165155215,False
18,Chequered12,Chequered,0,324,0,Chequered,14,0.005622204328099378,True
18,Chequered12,Chequered,0,324,0,Swirly,164,0.006539862850636192,False
18,Chequered12,Chequered,0,324,0,Chequered,17,0.006732588085609147,True
19,Chequered12,Chequered,0,36,0,Swirly,165,0.004848540297640793,False
19,Chequered12,Chequered,0,36,0,Chequered,14,0.005102346872467295,True
19,Chequered12,Chequered,0,36,0,Chequered,12,0.0051520334456432275,True
19,Chequered12,Chequered,0,36,0,Swirly,164,0.005280120320608035,False
19,Chequered12,Chequered,0,36,0,Chequered,17,0.0054378775270798214,True
20,Chequered12,Chequered,0,72,0,Chequered,14,0.002890104250417339,True
20,Chequered12,Chequered,0,72,0,Chequered,17,0.0039001797044142324,True
20,Chequered12,Chequered,0,72,0,Chequered,12,0.0041804217692357456,True
20,Chequered12,Chequered,0,72,0,Chequered,18,0.004245286001538838,True
20,Chequered12,Chequered,0,72,0,Chequered,11,0.010969750682328869,True
21,Cracked14,Cracked,0,0,0,Pitted,122,0.0017903612505311508,False
21,Cracked14,Cracked,0,0,0,Meshed,119,0.0018821451407174006,False
21,Cracked14,Cracked,0,0,0,Marbled,99,0.0040783636350781,False
21,Cracked14,Cracked,0,0,0,Matted,102,0.004261200484907975,False
21,Cracked14,Cracked,0,0,0,Pitted,128,0.008023931144193492,False
22,Cracked14,Cracked,0,108,0,Pitted,122,0.0019623769274866136,False
22,Cracked14,Cracked,0,108,0,Meshed,119,0.002287328699965885,False
22,Cracked14,Cracked,0,108,0,Marbled,99,0.0033421679929182936,False
22,Cracked14,Cracked,0,108,0,Matted,102,0.0034081703509281874,False
22,Cracked14,Cracked,0,108,0,Pitted,128,0.006722950380390126,False
23,Cracked14,Cracked,0,144,0,Pitted,122,0.001630978334767865,False
23,Cracked14,Cracked,0,144,0,Meshed,119,0.0019055559120637457,False
23,Cracked14,Cracked,0,144,0,Marbled,99,0.004225117730532606,False
23,Cracked14,Cracked,0,144,0,Matted,102,0.004277501465941,False
23,Cracked14,Cracked,0,144,0,Pitted,128,0.007479242937032798,False
24,Cracked14,Cracked,0,180,0,Pitted,122,0.0013021489279275774,False
24,Cracked14,Cracked,0,180,0,Meshed,119,0.0015335218672429235,False
24,Cracked14,Cracked,0,180,0,Marbled,99,0.004539487572448849,False
24,Cracked14,Cracked,0,180,0,Matted,102,0.004603987886511624,False
24,Cracked14,Cracked,0,180,0,Pitted,128,0.00795759095410869,False
25,Cracked14,Cracked,0,216,0,Pitted,122,0.0018305531092367737,False
25,Cracked14,Cracked,0,216,0,Meshed,119,0.001846061561797296,False
25,Cracked14,Cracked,0,216,0,Marbled,99,0.0037425426159695993,False
25,Cracked14,Cracked,0,216,0,Matted,102,0.003921057240299509,False
25,Cracked14,Cracked,0,216,0,Pitted,128,0.007214715364315271,False
26,Cracked14,Cracked,0,252,0,Pitted,122,0.0013844480100267834,False
26,Cracked14,Cracked,0,252,0,Meshed,119,0.0013973420721681109,False
26,Cracked14,Cracked,0,252,0,Marbled,99,0.003524599078517778,False
26,Cracked14,Cracked,0,252,0,Matted,102,0.0036437985165832082,False
26,Cracked14,Cracked,0,252,0,Pitted,128,0.006698660830800216,False
27,Cracked14,Cracked,0,288,0,Pitted,122,0.0015108644355660335,False
27,Cracked14,Cracked,0,288,0,Meshed,119,0.0018887135214589318,False
27,Cracked14,Cracked,0,288,0,Marbled,99,0.004090811131888174,False
27,Cracked14,Cracked,0,288,0,Matted,102,0.0041865187936234735,False
27,Cracked14,Cracked,0,288,0,Pitted,128,0.007549511136950866,False
28,Cracked14,Cracked,0,324,0,Pitted,122,0.0016260440566577374,False
28,Cracked14,Cracked,0,324,0,Meshed,119,0.0018507170153927678,False
28,Cracked14,Cracked,0,324,0,Marbled,99,0.00444948100913325,False
28,Cracked14,Cracked,0,324,0,Matted,102,0.004604783504142736,False
28,Cracked14,Cracked,0,324,0,Pitted,128,0.007959293336591676,False
29,Cracked14,Cracked,0,36,0,Meshed,119,0.0014397899273611823,False
29,Cracked14,Cracked,0,36,0,Pitted,122,0.0014695099314762747,False
29,Cracked14,Cracked,0,36,0,Marbled,99,0.004967778464424784,False
29,Cracked14,Cracked,0,36,0,Matted,102,0.005077985439256995,False
29,Cracked14,Cracked,0,36,0,Pitted,128,0.00855876672580885,False
30,Cracked14,Cracked,0,72,0,Pitted,122,0.0011929364198393524,False
30,Cracked14,Cracked,0,72,0,Meshed,119,0.0014328494348673012,False
30,Cracked14,Cracked,0,72,0,Marbled,99,0.004605471176275508,False
30,Cracked14,Cracked,0,72,0,Matted,102,0.004752565029923743,False
30,Cracked14,Cracked,0,72,0,Pitted,128,0.007745034461322308,False
31,Crosshatched11,Crosshatched,0,0,0,Pitted,122,0.010561896044352134,False
31,Crosshatched11,Crosshatched,0,0,0,Meshed,119,0.010742666832613934,False
31,Crosshatched11,Crosshatched,0,0,0,Crosshatched,32,0.013161030874947677,True
31,Crosshatched11,Crosshatched,0,0,0,Matted,102,0.013982822891729953,False
31,Crosshatched11,Crosshatched,0,0,0,Marbled,99,0.014030527586450443,False
32,Crosshatched11,Crosshatched,0,108,0,Pitted,122,0.001994258477073618,False
32,Crosshatched11,Crosshatched,0,108,0,Meshed,119,0.002015881471885204,False
32,Crosshatched11,Crosshatched,0,108,0,Marbled,99,0.0071628280251419965,False
32,Crosshatched11,Crosshatched,0,108,0,Matted,102,0.007309492182360255,False
32,Crosshatched11,Crosshatched,0,108,0,Pitted,128,0.010191652705013095,False
33,Crosshatched11,Crosshatched,0,144,0,Meshed,119,0.001697937620503587,False
33,Crosshatched11,Crosshatched,0,144,0,Pitted,122,0.0019240314004687832,False
33,Crosshatched11,Crosshatched,0,144,0,Matted,102,0.00871224359075597,False
33,Crosshatched11,Crosshatched,0,144,0,Marbled,99,0.00878557416143386,False
33,Crosshatched11,Crosshatched,0,144,0,Pitted,128,0.011221901034206807,False
34,Crosshatched11,Crosshatched,0,180,0,Pitted,122,0.01079263518478345,False
34,Crosshatched11,Crosshatched,0,180,0,Meshed,119,0.011060674944965291,False
34,Crosshatched11,Crosshatched,0,180,0,Crosshatched,30,0.014483701888703815,True
34,Crosshatched11,Crosshatched,0,180,0,Marbled,99,0.015645248674420634,False
34,Crosshatched11,Crosshatched,0,180,0,Matted,102,0.015660895241793912,False
35,Crosshatched11,Crosshatched,0,216,0,Pitted,122,0.0017600131325758398,False
35,Crosshatched11,Crosshatched,0,216,0,Meshed,119,0.0018045787357864752,False
35,Crosshatched11,Crosshatched,0,216,0,Marbled,99,0.007815343277553644,False
35,Crosshatched11,Crosshatched,0,216,0,Matted,102,0.007857930564531872,False
35,Crosshatched11,Crosshatched,0,216,0,Pitted,128,0.011152150464214979,False
36,Crosshatched11,Crosshatched,0,252,0,Meshed,119,0.002177103475757042,False
36,Crosshatched11,Crosshatched,0,252,0,Pitted,122,0.0021828040894093952,False
36,Crosshatched11,Crosshatched,0,252,0,Matted,102,0.006533505174956443,False
36,Crosshatched11,Crosshatched,0,252,0,Marbled,99,0.006543076666693642,False
36,Crosshatched11,Crosshatched,0,252,0,Pitted,128,0.009419506807390931,False
37,Crosshatched11,Crosshatched,0,288,0,Pitted,122,0.0020160258062943926,False
37,Crosshatched11,Crosshatched,0,288,0,Meshed,119,0.0021684953138439702,False
37,Crosshatched11,Crosshatched,0,288,0,Marbled,99,0.007182020581137996,False
37,Crosshatched11,Crosshatched,0,288,0,Matted,102,0.007271681348194291,False
37,Crosshatched11,Crosshatched,0,288,0,Pitted,128,0.009909987822410524,False
38,Crosshatched11,Crosshatched,0,324,0,Meshed,119,0.0012105219666741452,False
38,Crosshatched11,Crosshatched,0,324,0,Pitted,122,0.0014215686246745244,False
38,Crosshatched11,Crosshatched,0,324,0,Matted,102,0.006637723288116423,False
38,Crosshatched11,Crosshatched,0,324,0,Marbled,99,0.0066378038703292855,False
38,Crosshatched11,Crosshatched,0,324,0,Pitted,125,0.009307045473069521,False
39,Crosshatched11,Crosshatched,0,36,0,Pitted,122,0.0018185238114005707,False
39,Crosshatched11,Crosshatched,0,36,0,Meshed,119,0.001974202626250766,False
