Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Bubbly16,Bubbly,0,0,0,Bubbly,4,0.002535780686768532,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,5,0.002645917157509346,True
1,Bubbly16,Bubbly,0,0,0,Bubbly,0,0.0031267245851390934,True
1,Bubbly16,Bubbly,0,0,0,Matted,105,0.003207971451598375,False
1,Bubbly16,Bubbly,0,0,0,Matted,100,0.003282111323901588,False
2,Bubbly16,Bubbly,0,108,0,Scaly,142,0.00305145348143621,False
2,Bubbly16,Bubbly,0,108,0,Porous,139,0.0030969085182776038,False
2,Bubbly16,Bubbly,0,108,0,Bubbly,4,0.003436089682332338,True
2,Bubbly16,Bubbly,0,108,0,Chequered,19,0.0034891374467975523,False
2,Bubbly16,Bubbly,0,108,0,Sprinkled,156,0.003490421129224459,False
3,Bubbly16,Bubbly,0,144,0,Bubbly,7,0.0029847692307411276,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,6,0.0031765169380224565,True
3,Bubbly16,Bubbly,0,144,0,Bubbly,3,0.0032576025866500394,True
3,Bubbly16,Bubbly,0,144,0,Swirly,163,0.0033646544361707244,False
3,Bubbly16,Bubbly,0,144,0,Swirly,161,0.003456550432639483,False
4,Bubbly16,Bubbly,0,180,0,Bubbly,4,0.0022361579166175817,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,5,0.0022877536329231653,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,1,0.0026928541682234787,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,8,0.0030537471957801147,True
4,Bubbly16,Bubbly,0,180,0,Bubbly,7,0.0034971229282980713,True
5,Bubbly16,Bubbly,0,216,0,Scaly,142,0.0031913358310136477,False
5,Bubbly16,Bubbly,0,216,0,Porous,139,0.003623025524078036,False
5,Bubbly16,Bubbly,0,216,0,Chequered,19,0.003860203503499919,False
5,Bubbly16,Bubbly,0,216,0,Cracked,22,0.0038659240126775727,False
5,Bubbly16,Bubbly,0,216,0,Swirly,161,0.0039010009921743604,False
6,Bubbly16,Bubbly,0,252,0,Scaly,142,0.0030630697408903333,False
6,Bubbly16,Bubbly,0,252,0,Porous,139,0.003147581207005427,False
6,Bubbly16,Bubbly,0,252,0,Sprinkled,157,0.003379857851818631,False
6,Bubbly16,Bubbly,0,252,0,Cracked,22,0.0034820722931451268,False
6,Bubbly16,Bubbly,0,252,0,Chequered,19,0.0035764251175464615,False
7,Bubbly16,Bubbly,0,288,0,Scaly,142,0.0030850985923247132,False
7,Bubbly16,Bubbly,0,288,0,Porous,139,0.00309528729128237,False
7,Bubbly16,Bubbly,0,288,0,Swirly,163,0.003227947916667159,False
7,Bubbly16,Bubbly,0,288,0,Cracked,22,0.003263007547574505,False
7,Bubbly16,Bubbly,0,288,0,Chequered,19,0.0033570116145203058,False
8,Bubbly16,Bubbly,0,324,0,Swirly,161,0.0032017154664169016,False
8,Bubbly16,Bubbly,0,324,0,Swirly,163,0.0033343076432354414,False
8,Bubbly16,Bubbly,0,324,0,Swirly,166,0.0035610850368128343,False
8,Bubbly16,Bubbly,0,324,0,Scaly,142,0.0035987843061348126,False
8,Bubbly16,Bubbly,0,324,0,Bubbly,4,0.0035995246042566558,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,1,0.0034937148188735,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,5,0.003551612174685868,True
9,Bubbly16,Bubbly,0,36,0,Bubbly,6,0.0035997029022844726,True
9,Bubbly16,Bubbly,0,36,0,Swirly,163,0.0038647471973555464,False
9,Bubbly16,Bubbly,0,36,0,Matted,100,0.003912560932113039,False
10,Bubbly16,Bubbly,0,72,0,Bubbly,6,0.0031401904008635717,True
10,Bubbly16,Bubbly,0,72,0,Scaly,142,0.0034574928591207576,False
10,Bubbly16,Bubbly,0,72,0,Porous,139,0.003552702309202378,False
10,Bubbly16,Bubbly,0,72,0,Bubbly,5,0.0036818629247184938,True
10,Bubbly16,Bubbly,0,72,0,Swirly,161,0.003911832040980496,False
11,Chequered12,Chequered,0,0,0,Porous,138,0.0061753988852279425,False
11,Chequered12,Chequered,0,0,0,Porous,131,0.007016269805407413,False
11,Chequered12,Chequered,0,0,0,Porous,134,0.007105865710187753,False
11,Chequered12,Chequered,0,0,0,Porous,137,0.007555572652438551,False
11,Chequered12,Chequered,0,0,0,Porous,136,0.0077506650312453304,False
